"Plot Title: 10760819"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10760819, SEN S/N: 10760819, LBL: Temp °C)","Intensity, Lux (LGR S/N: 10760819, SEN S/N: 10760819)","Bad Battery (LGR S/N: 10760819)","Coupler Attached (LGR S/N: 10760819)","Host Connected (LGR S/N: 10760819)","Stopped (LGR S/N: 10760819)","End Of File (LGR S/N: 10760819)"
1,10/30/2024 11:00:00 AM,22.142,21.5,,,,,
2,10/30/2024 11:10:00 AM,22.238,21.5,,,,,
3,10/30/2024 11:20:00 AM,22.238,53.8,,,,,
4,10/30/2024 11:30:00 AM,38.379,21.5,,,,,
5,10/30/2024 11:40:00 AM,44.704,0.0,,,,,
6,10/30/2024 11:50:00 AM,43.601,10.8,,,,,
7,10/30/2024 12:00:00 PM,42.401,0.0,,,,,
8,10/30/2024 12:10:00 PM,41.225,0.0,,,,,
9,10/30/2024 12:20:00 PM,18.331,10.8,,,,,
10,10/30/2024 12:30:00 PM,16.808,0.0,,,,,
11,10/30/2024 12:40:00 PM,16.903,10.8,,,,,
12,10/30/2024 12:50:00 PM,17.950,161.5,,,,,
13,10/30/2024 01:00:00 PM,22.046,419.8,,,,,
14,10/30/2024 01:10:00 PM,19.187,10.8,,,,,
15,10/30/2024 01:20:00 PM,23.100,0.0,,,,,
16,10/30/2024 01:30:00 PM,27.075,0.0,,,,,
17,10/30/2024 01:40:00 PM,29.352,21.5,,,,,
18,10/30/2024 01:50:00 PM,30.963,0.0,,,,,
19,10/30/2024 02:00:00 PM,31.472,549.0,,,,,
20,10/30/2024 02:10:00 PM,20.424,958.0,,,,,
21,10/30/2024 02:20:00 PM,13.942,592.0,,,,,
22,10/30/2024 02:30:00 PM,17.284,516.7,,,,,
23,10/30/2024 02:40:00 PM,18.521,473.6,,,,,
24,10/30/2024 02:50:00 PM,20.138,118.4,,,,,
25,10/30/2024 03:00:00 PM,21.855,43.1,,,,,
26,10/30/2024 03:10:00 PM,20.138,21.5,,,,,
27,10/30/2024 03:20:00 PM,17.284,21.5,,,,,
28,10/30/2024 03:30:00 PM,14.517,602.8,,,,,
29,10/30/2024 03:40:00 PM,11.916,312.2,,,,,
30,10/30/2024 03:50:00 PM,11.041,592.0,,,,,
31,10/30/2024 04:00:00 PM,10.357,441.3,,,,,
32,10/30/2024 04:10:00 PM,9.965,409.0,,,,,
33,10/30/2024 04:20:00 PM,9.669,279.9,,,,,
34,10/30/2024 04:30:00 PM,9.669,183.0,,,,,
35,10/30/2024 04:40:00 PM,9.571,161.5,,,,,
36,10/30/2024 04:50:00 PM,9.472,96.9,,,,,
37,10/30/2024 05:00:00 PM,9.373,21.5,,,,,
38,10/30/2024 05:10:00 PM,9.275,10.8,,,,,
39,10/30/2024 05:20:00 PM,9.275,0.0,,,,,
40,10/30/2024 05:30:00 PM,9.176,0.0,,,,,
41,10/30/2024 05:40:00 PM,9.077,0.0,,,,,
42,10/30/2024 05:50:00 PM,8.978,0.0,,,,,
43,10/30/2024 06:00:00 PM,8.978,0.0,,,,,
44,10/30/2024 06:10:00 PM,8.978,0.0,,,,,
45,10/30/2024 06:20:00 PM,8.978,0.0,,,,,
46,10/30/2024 06:30:00 PM,8.978,0.0,,,,,
47,10/30/2024 06:40:00 PM,8.978,0.0,,,,,
48,10/30/2024 06:50:00 PM,8.978,0.0,,,,,
49,10/30/2024 07:00:00 PM,8.879,0.0,,,,,
50,10/30/2024 07:10:00 PM,8.879,0.0,,,,,
51,10/30/2024 07:20:00 PM,8.879,0.0,,,,,
52,10/30/2024 07:30:00 PM,8.978,0.0,,,,,
