"Plot Title: 10760759"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10760759, SEN S/N: 10760759, LBL: temp)","Bad Battery (LGR S/N: 10760759)","Coupler Attached (LGR S/N: 10760759)","Host Connected (LGR S/N: 10760759)","Stopped (LGR S/N: 10760759)","End Of File (LGR S/N: 10760759)"
1,10/29/2025 11:00:00 AM,16.046,,,,,
2,10/29/2025 11:10:00 AM,16.237,,,,,
3,10/29/2025 11:20:00 AM,16.332,,,,,
4,10/29/2025 11:30:00 AM,12.690,,,,,
5,10/29/2025 11:40:00 AM,7.682,,,,,
6,10/29/2025 11:50:00 AM,5.655,,,,,
7,10/29/2025 12:00:00 PM,4.727,,,,,
8,10/29/2025 12:10:00 PM,3.893,,,,,
9,10/29/2025 12:20:00 PM,7.481,,,,,
10,10/29/2025 12:30:00 PM,10.259,,,,,
11,10/29/2025 12:40:00 PM,11.528,,,,,
12,10/29/2025 12:50:00 PM,14.804,,,,,
13,10/29/2025 01:00:00 PM,18.996,,,,,
14,10/29/2025 01:10:00 PM,22.717,,,,,
15,10/29/2025 01:20:00 PM,26.000,,,,,
16,10/29/2025 01:30:00 PM,24.641,,,,,
17,10/29/2025 01:40:00 PM,23.581,,,,,
18,10/29/2025 01:50:00 PM,22.621,,,,,
19,10/29/2025 02:00:00 PM,22.046,,,,,
20,10/29/2025 02:10:00 PM,21.091,,,,,
21,10/29/2025 02:20:00 PM,20.805,,,,,
22,10/29/2025 02:30:00 PM,20.805,,,,,
23,10/29/2025 02:40:00 PM,20.901,,,,,
24,10/29/2025 02:50:00 PM,20.996,,,,,
25,10/29/2025 03:00:00 PM,21.091,,,,,
26,10/29/2025 03:10:00 PM,21.187,,,,,
27,10/29/2025 03:20:00 PM,21.282,,,,,
28,10/29/2025 03:30:00 PM,21.378,,,,,
29,10/29/2025 03:40:00 PM,21.187,,,,,
30,10/29/2025 03:50:00 PM,20.710,,,,,
31,10/29/2025 04:00:00 PM,20.519,,,,,
32,10/29/2025 04:10:00 PM,20.138,,,,,
33,10/29/2025 04:20:00 PM,18.616,,,,,
34,10/29/2025 04:30:00 PM,16.523,,,,,
35,10/29/2025 04:40:00 PM,15.664,,,,,
36,10/29/2025 04:50:00 PM,15.282,,,,,
37,10/29/2025 05:00:00 PM,15.378,,,,,
38,10/29/2025 05:10:00 PM,15.282,,,,,
39,10/29/2025 05:20:00 PM,15.378,,,,,
40,10/29/2025 05:30:00 PM,15.569,,,,,
41,10/29/2025 05:40:00 PM,15.760,,,,,
42,10/29/2025 05:50:00 PM,16.046,,,,,
43,10/29/2025 06:00:00 PM,16.237,,,,,
44,10/29/2025 06:10:00 PM,16.141,,,,,
45,10/29/2025 06:20:00 PM,16.427,,,,,
46,10/29/2025 06:30:00 PM,16.618,,,,,
47,10/29/2025 06:40:00 PM,16.618,,,,,
48,10/29/2025 06:50:00 PM,16.523,,,,,
49,10/29/2025 07:00:00 PM,16.618,,,,,
50,10/29/2025 07:10:00 PM,16.713,,,,,
51,10/29/2025 07:20:00 PM,16.713,,,,,
52,10/29/2025 07:30:00 PM,16.618,,,,,
53,10/29/2025 07:40:00 PM,16.523,,,,,
54,10/29/2025 07:50:00 PM,16.618,,,,,
55,10/29/2025 08:00:00 PM,16.618,,,,,
56,10/29/2025 08:10:00 PM,16.523,,,,,
57,10/29/2025 08:20:00 PM,16.523,,,,,
58,10/29/2025 08:30:00 PM,16.523,,,,,
59,10/29/2025 08:40:00 PM,16.332,,,,,
60,10/29/2025 08:50:00 PM,16.332,,,,,
61,10/29/2025 09:00:00 PM,16.141,,,,,
62,10/29/2025 09:10:00 PM,16.046,,,,,
63,10/29/2025 09:20:00 PM,15.378,,,,,
64,10/29/2025 09:30:00 PM,14.517,,,,,
65,10/29/2025 09:40:00 PM,13.942,,,,,
66,10/29/2025 09:50:00 PM,13.173,,,,,
67,10/29/2025 10:00:00 PM,12.690,,,,,
68,10/29/2025 10:10:00 PM,12.401,,,,,
69,10/29/2025 10:20:00 PM,12.110,,,,,
70,10/29/2025 10:30:00 PM,11.819,,,,,
