"Plot Title: 10347313"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347313, SEN S/N: 10347313, LBL: temp)","Coupler Attached (LGR S/N: 10347313)","Host Connected (LGR S/N: 10347313)","Coupler Detached (LGR S/N: 10347313)","Stopped (LGR S/N: 10347313)","End Of File (LGR S/N: 10347313)"
1,10/29/2025 11:00:00 AM,15.951,,,,,
2,10/29/2025 11:10:00 AM,16.237,,,,,
3,10/29/2025 11:20:00 AM,16.237,,,,,
4,10/29/2025 11:30:00 AM,12.401,,,,,
5,10/29/2025 11:40:00 AM,7.983,,,,,
6,10/29/2025 11:50:00 AM,5.757,,,,,
7,10/29/2025 12:00:00 PM,4.934,,,,,
8,10/29/2025 12:10:00 PM,4.207,,,,,
9,10/29/2025 12:20:00 PM,7.280,,,,,
10,10/29/2025 12:30:00 PM,9.176,,,,,
11,10/29/2025 12:40:00 PM,10.455,,,,,
12,10/29/2025 12:50:00 PM,14.613,,,,,
13,10/29/2025 01:00:00 PM,22.525,,,,,
14,10/29/2025 01:10:00 PM,24.931,,,,,
15,10/29/2025 01:20:00 PM,26.195,,,,,
16,10/29/2025 01:30:00 PM,28.060,,,,,
17,10/29/2025 01:40:00 PM,26.977,,,,,
18,10/29/2025 01:50:00 PM,26.781,,,,,
19,10/29/2025 02:00:00 PM,25.902,,,,,
20,10/29/2025 02:10:00 PM,22.621,,,,,
21,10/29/2025 02:20:00 PM,21.760,,,,,
22,10/29/2025 02:30:00 PM,22.142,,,,,
23,10/29/2025 02:40:00 PM,22.621,,,,,
24,10/29/2025 02:50:00 PM,23.196,,,,,
25,10/29/2025 03:00:00 PM,23.581,,,,,
26,10/29/2025 03:10:00 PM,23.773,,,,,
27,10/29/2025 03:20:00 PM,23.966,,,,,
28,10/29/2025 03:30:00 PM,23.773,,,,,
29,10/29/2025 03:40:00 PM,22.525,,,,,
30,10/29/2025 03:50:00 PM,20.996,,,,,
31,10/29/2025 04:00:00 PM,21.187,,,,,
32,10/29/2025 04:10:00 PM,20.043,,,,,
33,10/29/2025 04:20:00 PM,17.570,,,,,
34,10/29/2025 04:30:00 PM,15.378,,,,,
35,10/29/2025 04:40:00 PM,14.517,,,,,
36,10/29/2025 04:50:00 PM,14.230,,,,,
37,10/29/2025 05:00:00 PM,14.038,,,,,
38,10/29/2025 05:10:00 PM,14.038,,,,,
39,10/29/2025 05:20:00 PM,14.230,,,,,
40,10/29/2025 05:30:00 PM,14.325,,,,,
41,10/29/2025 05:40:00 PM,14.517,,,,,
42,10/29/2025 05:50:00 PM,14.709,,,,,
43,10/29/2025 06:00:00 PM,14.804,,,,,
44,10/29/2025 06:10:00 PM,14.900,,,,,
45,10/29/2025 06:20:00 PM,15.091,,,,,
46,10/29/2025 06:30:00 PM,15.091,,,,,
47,10/29/2025 06:40:00 PM,15.091,,,,,
48,10/29/2025 06:50:00 PM,15.187,,,,,
49,10/29/2025 07:00:00 PM,15.187,,,,,
50,10/29/2025 07:10:00 PM,15.187,,,,,
51,10/29/2025 07:20:00 PM,15.378,,,,,
52,10/29/2025 07:30:00 PM,15.378,,,,,
53,10/29/2025 07:40:00 PM,15.378,,,,,
54,10/29/2025 07:50:00 PM,15.378,,,,,
55,10/29/2025 08:00:00 PM,15.282,,,,,
56,10/29/2025 08:10:00 PM,15.091,,,,,
57,10/29/2025 08:20:00 PM,15.091,,,,,
58,10/29/2025 08:30:00 PM,15.187,,,,,
59,10/29/2025 08:40:00 PM,15.187,,,,,
