"Plot Title: 10760762"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10760762, SEN S/N: 10760762, LBL: temp)","Coupler Attached (LGR S/N: 10760762)","Host Connected (LGR S/N: 10760762)","Stopped (LGR S/N: 10760762)","End Of File (LGR S/N: 10760762)"
1,10/29/2025 11:00:00 AM,16.141,,,,
2,10/29/2025 11:10:00 AM,16.237,,,,
3,10/29/2025 11:20:00 AM,16.618,,,,
4,10/29/2025 11:30:00 AM,14.517,,,,
5,10/29/2025 11:40:00 AM,9.176,,,,
6,10/29/2025 11:50:00 AM,5.552,,,,
7,10/29/2025 12:00:00 PM,4.415,,,,
8,10/29/2025 12:10:00 PM,3.893,,,,
9,10/29/2025 12:20:00 PM,6.573,,,,
10,10/29/2025 12:30:00 PM,10.455,,,,
11,10/29/2025 12:40:00 PM,11.916,,,,
12,10/29/2025 12:50:00 PM,13.461,,,,
13,10/29/2025 01:00:00 PM,25.125,,,,
14,10/29/2025 01:10:00 PM,22.908,,,,
15,10/29/2025 01:20:00 PM,21.378,,,,
16,10/29/2025 01:30:00 PM,20.996,,,,
17,10/29/2025 01:40:00 PM,21.091,,,,
18,10/29/2025 01:50:00 PM,21.187,,,,
19,10/29/2025 02:00:00 PM,21.282,,,,
20,10/29/2025 02:10:00 PM,21.187,,,,
21,10/29/2025 02:20:00 PM,20.710,,,,
22,10/29/2025 02:30:00 PM,20.519,,,,
23,10/29/2025 02:40:00 PM,20.519,,,,
24,10/29/2025 02:50:00 PM,20.615,,,,
25,10/29/2025 03:00:00 PM,20.615,,,,
26,10/29/2025 03:10:00 PM,20.615,,,,
27,10/29/2025 03:20:00 PM,20.615,,,,
28,10/29/2025 03:30:00 PM,20.615,,,,
29,10/29/2025 03:40:00 PM,20.519,,,,
30,10/29/2025 03:50:00 PM,21.664,,,,
31,10/29/2025 04:00:00 PM,20.805,,,,
32,10/29/2025 04:10:00 PM,19.853,,,,
33,10/29/2025 04:20:00 PM,19.377,,,,
34,10/29/2025 04:30:00 PM,16.332,,,,
35,10/29/2025 04:40:00 PM,14.325,,,,
36,10/29/2025 04:50:00 PM,13.461,,,,
37,10/29/2025 05:00:00 PM,12.980,,,,
38,10/29/2025 05:10:00 PM,12.690,,,,
39,10/29/2025 05:20:00 PM,12.497,,,,
40,10/29/2025 05:30:00 PM,12.497,,,,
41,10/29/2025 05:40:00 PM,12.497,,,,
42,10/29/2025 05:50:00 PM,12.594,,,,
43,10/29/2025 06:00:00 PM,12.883,,,,
44,10/29/2025 06:10:00 PM,13.076,,,,
45,10/29/2025 06:20:00 PM,13.173,,,,
46,10/29/2025 06:30:00 PM,13.269,,,,
47,10/29/2025 06:40:00 PM,13.461,,,,
48,10/29/2025 06:50:00 PM,13.654,,,,
49,10/29/2025 07:00:00 PM,13.750,,,,
50,10/29/2025 07:10:00 PM,13.846,,,,
51,10/29/2025 07:20:00 PM,13.750,,,,
52,10/29/2025 07:30:00 PM,13.654,,,,
53,10/29/2025 07:40:00 PM,13.558,,,,
54,10/29/2025 07:50:00 PM,13.461,,,,
55,10/29/2025 08:00:00 PM,13.461,,,,
56,10/29/2025 08:10:00 PM,13.461,,,,
57,10/29/2025 08:20:00 PM,13.461,,,,
58,10/29/2025 08:30:00 PM,13.365,,,,
59,10/29/2025 08:40:00 PM,13.173,,,,
60,10/29/2025 08:50:00 PM,13.269,,,,
61,10/29/2025 09:00:00 PM,13.558,,,,
62,10/29/2025 09:10:00 PM,13.942,,,,
63,10/29/2025 09:20:00 PM,13.654,,,,
64,10/29/2025 09:30:00 PM,12.787,,,,
65,10/29/2025 09:40:00 PM,12.304,,,,
66,10/29/2025 09:50:00 PM,11.722,,,,
67,10/29/2025 10:00:00 PM,11.139,,,,
68,10/29/2025 10:10:00 PM,10.846,,,,
69,10/29/2025 10:20:00 PM,10.651,,,,
70,10/29/2025 10:30:00 PM,10.357,,,,
71,10/29/2025 10:40:00 PM,10.161,,,,
72,10/29/2025 10:50:00 PM,10.063,,,,
73,10/29/2025 11:00:00 PM,10.063,,,,
74,10/29/2025 11:10:00 PM,9.965,,,,
75,10/29/2025 11:20:00 PM,9.866,,,,
76,10/29/2025 11:30:00 PM,9.866,,,,
77,10/29/2025 11:40:00 PM,9.866,,,,
78,10/29/2025 11:50:00 PM,9.866,,,,
79,10/30/2025 12:00:00 AM,9.965,,,,
80,10/30/2025 12:10:00 AM,10.063,,,,
81,10/30/2025 12:20:00 AM,10.161,,,,
82,10/30/2025 12:30:00 AM,10.161,,,,
83,10/30/2025 12:40:00 AM,10.259,,,,
84,10/30/2025 12:50:00 AM,10.259,,,,
85,10/30/2025 01:00:00 AM,10.259,,,,
86,10/30/2025 01:10:00 AM,10.259,,,,
87,10/30/2025 01:20:00 AM,10.357,,,,
88,10/30/2025 01:30:00 AM,10.357,,,,
89,10/30/2025 01:40:00 AM,10.455,,,,
90,10/30/2025 01:50:00 AM,10.455,,,,
91,10/30/2025 02:00:00 AM,10.553,,,,
92,10/30/2025 02:10:00 AM,10.651,,,,
93,10/30/2025 02:20:00 AM,10.748,,,,
94,10/30/2025 02:30:00 AM,10.944,,,,
95,10/30/2025 02:40:00 AM,10.944,,,,
96,10/30/2025 02:50:00 AM,10.944,,,,
97,10/30/2025 03:00:00 AM,11.041,,,,
98,10/30/2025 03:10:00 AM,11.139,,,,
99,10/30/2025 03:20:00 AM,11.139,,,,
100,10/30/2025 03:30:00 AM,11.139,,,,
101,10/30/2025 03:40:00 AM,11.139,,,,
102,10/30/2025 03:50:00 AM,11.139,,,,
103,10/30/2025 04:00:00 AM,11.041,,,,
104,10/30/2025 04:10:00 AM,11.041,,,,
105,10/30/2025 04:20:00 AM,11.139,,,,
106,10/30/2025 04:30:00 AM,11.139,,,,
107,10/30/2025 04:40:00 AM,11.139,,,,
108,10/30/2025 04:50:00 AM,11.041,,,,
109,10/30/2025 05:00:00 AM,11.041,,,,
110,10/30/2025 05:10:00 AM,10.944,,,,
111,10/30/2025 05:20:00 AM,10.651,,,,
112,10/30/2025 05:30:00 AM,10.259,,,,
113,10/30/2025 05:40:00 AM,10.063,,,,
114,10/30/2025 05:50:00 AM,9.965,,,,
115,10/30/2025 06:00:00 AM,9.866,,,,
116,10/30/2025 06:10:00 AM,9.768,,,,
117,10/30/2025 06:20:00 AM,9.571,,,,
118,10/30/2025 06:30:00 AM,9.472,,,,
119,10/30/2025 06:40:00 AM,9.472,,,,
120,10/30/2025 06:50:00 AM,9.373,,,,
121,10/30/2025 07:00:00 AM,9.275,,,,
122,10/30/2025 07:10:00 AM,9.176,,,,
123,10/30/2025 07:20:00 AM,9.077,,,,
124,10/30/2025 07:30:00 AM,9.077,,,,
125,10/30/2025 07:40:00 AM,8.978,,,,
126,10/30/2025 07:50:00 AM,8.978,,,,
127,10/30/2025 08:00:00 AM,9.077,,,,
128,10/30/2025 08:10:00 AM,9.176,,,,
129,10/30/2025 08:20:00 AM,9.275,,,,
130,10/30/2025 08:30:00 AM,9.472,,,,
131,10/30/2025 08:40:00 AM,9.472,,,,
132,10/30/2025 08:50:00 AM,9.571,,,,
133,10/30/2025 09:00:00 AM,9.866,,,,
134,10/30/2025 09:10:00 AM,10.063,,,,
135,10/30/2025 09:20:00 AM,10.063,,,,
136,10/30/2025 09:30:00 AM,10.161,,,,
137,10/30/2025 09:40:00 AM,10.357,,,,
138,10/30/2025 09:50:00 AM,10.455,,,,
139,10/30/2025 10:00:00 AM,10.553,,,,
140,10/30/2025 10:10:00 AM,10.553,,,,
141,10/30/2025 10:20:00 AM,10.846,,,,
142,10/30/2025 10:30:00 AM,10.944,,,,
143,10/30/2025 10:40:00 AM,11.139,,,,
144,10/30/2025 10:50:00 AM,11.431,,,,
145,10/30/2025 11:00:00 AM,11.236,,,,
146,10/30/2025 11:10:00 AM,11.236,,,,
147,10/30/2025 11:20:00 AM,10.748,,,,
148,10/30/2025 11:30:00 AM,11.139,,,,
149,10/30/2025 11:40:00 AM,12.013,,,,
150,10/30/2025 11:50:00 AM,12.207,,,,
151,10/30/2025 12:00:00 PM,12.594,,,,
