"Plot Title: DREI11_1"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10349997, SEN S/N: 10349997, LBL: Temp (°C))","Coupler Attached (LGR S/N: 10349997)","Host Connected (LGR S/N: 10349997)","Stopped (LGR S/N: 10349997)","End Of File (LGR S/N: 10349997)"
1,10/22/23 10:00:00 PM,11.041,,,,
2,10/22/23 10:10:00 PM,10.944,,,,
3,10/22/23 10:20:00 PM,10.748,,,,
4,10/22/23 10:30:00 PM,10.651,,,,
5,10/22/23 10:40:00 PM,10.553,,,,
6,10/22/23 10:50:00 PM,10.357,,,,
7,10/22/23 11:00:00 PM,10.259,,,,
8,10/22/23 11:10:00 PM,10.259,,,,
9,10/22/23 11:20:00 PM,10.259,,,,
10,10/22/23 11:30:00 PM,10.259,,,,
11,10/22/23 11:40:00 PM,10.161,,,,
12,10/22/23 11:50:00 PM,9.965,,,,
13,10/23/23 12:00:00 AM,9.768,,,,
14,10/23/23 12:10:00 AM,9.571,,,,
15,10/23/23 12:20:00 AM,9.472,,,,
16,10/23/23 12:30:00 AM,9.373,,,,
17,10/23/23 12:40:00 AM,9.373,,,,
18,10/23/23 12:50:00 AM,9.275,,,,
19,10/23/23 01:00:00 AM,9.077,,,,
20,10/23/23 01:10:00 AM,9.077,,,,
21,10/23/23 01:20:00 AM,8.978,,,,
22,10/23/23 01:30:00 AM,8.879,,,,
23,10/23/23 01:40:00 AM,8.879,,,,
24,10/23/23 01:50:00 AM,8.779,,,,
25,10/23/23 02:00:00 AM,8.581,,,,
26,10/23/23 02:10:00 AM,8.581,,,,
27,10/23/23 02:20:00 AM,8.581,,,,
28,10/23/23 02:30:00 AM,8.581,,,,
29,10/23/23 02:40:00 AM,8.382,,,,
30,10/23/23 02:50:00 AM,8.282,,,,
31,10/23/23 03:00:00 AM,8.182,,,,
32,10/23/23 03:10:00 AM,8.182,,,,
33,10/23/23 03:20:00 AM,8.082,,,,
34,10/23/23 03:30:00 AM,8.082,,,,
35,10/23/23 03:40:00 AM,8.082,,,,
36,10/23/23 03:50:00 AM,7.983,,,,
37,10/23/23 04:00:00 AM,7.882,,,,
38,10/23/23 04:10:00 AM,7.882,,,,
39,10/23/23 04:20:00 AM,7.782,,,,
40,10/23/23 04:30:00 AM,7.682,,,,
41,10/23/23 04:40:00 AM,7.682,,,,
42,10/23/23 04:50:00 AM,7.682,,,,
43,10/23/23 05:00:00 AM,7.582,,,,
44,10/23/23 05:10:00 AM,7.481,,,,
45,10/23/23 05:20:00 AM,7.682,,,,
46,10/23/23 05:30:00 AM,7.782,,,,
47,10/23/23 05:40:00 AM,7.782,,,,
48,10/23/23 05:50:00 AM,7.882,,,,
49,10/23/23 06:00:00 AM,7.782,,,,
50,10/23/23 06:10:00 AM,7.882,,,,
51,10/23/23 06:20:00 AM,8.082,,,,
52,10/23/23 06:30:00 AM,8.182,,,,
53,10/23/23 06:40:00 AM,8.282,,,,
54,10/23/23 06:50:00 AM,8.481,,,,
55,10/23/23 07:00:00 AM,8.481,,,,
56,10/23/23 07:10:00 AM,8.581,,,,
57,10/23/23 07:20:00 AM,8.680,,,,
58,10/23/23 07:30:00 AM,8.680,,,,
59,10/23/23 07:40:00 AM,8.779,,,,
60,10/23/23 07:50:00 AM,8.978,,,,
61,10/23/23 08:00:00 AM,9.077,,,,
62,10/23/23 08:10:00 AM,9.275,,,,
63,10/23/23 08:20:00 AM,9.373,,,,
64,10/23/23 08:30:00 AM,9.472,,,,
65,10/23/23 08:40:00 AM,9.472,,,,
66,10/23/23 08:50:00 AM,9.571,,,,
67,10/23/23 09:00:00 AM,9.768,,,,
68,10/23/23 09:10:00 AM,9.965,,,,
69,10/23/23 09:20:00 AM,9.965,,,,
70,10/23/23 09:30:00 AM,9.965,,,,
71,10/23/23 09:40:00 AM,10.161,,,,
72,10/23/23 09:50:00 AM,10.455,,,,
73,10/23/23 10:00:00 AM,10.846,,,,
74,10/23/23 10:10:00 AM,10.846,,,,
75,10/23/23 10:20:00 AM,10.944,,,,
76,10/23/23 10:30:00 AM,11.041,,,,
77,10/23/23 10:40:00 AM,10.846,,,,
78,10/23/23 10:50:00 AM,10.944,,,,
79,10/23/23 11:00:00 AM,11.139,,,,
80,10/23/23 11:10:00 AM,11.139,,,,
81,10/23/23 11:20:00 AM,10.846,,,,
82,10/23/23 11:30:00 AM,10.651,,,,
83,10/23/23 11:40:00 AM,10.748,,,,
84,10/23/23 11:50:00 AM,10.944,,,,
85,10/23/23 12:00:00 PM,11.041,,,,
86,10/23/23 12:10:00 PM,11.139,,,,
87,10/23/23 12:20:00 PM,11.236,,,,
88,10/23/23 12:30:00 PM,11.528,,,,
89,10/23/23 12:40:00 PM,12.110,,,,
90,10/23/23 12:50:00 PM,12.013,,,,
91,10/23/23 01:00:00 PM,11.916,,,,
92,10/23/23 01:10:00 PM,12.013,,,,
93,10/23/23 01:20:00 PM,12.207,,,,
94,10/23/23 01:30:00 PM,12.304,,,,
95,10/23/23 01:40:00 PM,12.401,,,,
96,10/23/23 01:50:00 PM,12.497,,,,
97,10/23/23 02:00:00 PM,12.980,,,,
98,10/23/23 02:10:00 PM,13.076,,,,
99,10/23/23 02:20:00 PM,12.883,,,,
100,10/23/23 02:30:00 PM,13.076,,,,
101,10/23/23 02:40:00 PM,12.980,,,,
102,10/23/23 02:50:00 PM,12.883,,,,
103,10/23/23 03:00:00 PM,12.787,,,,
104,10/23/23 03:10:00 PM,12.787,,,,
105,10/23/23 03:20:00 PM,12.497,,,,
106,10/23/23 03:30:00 PM,12.401,,,,
107,10/23/23 03:40:00 PM,12.401,,,,
108,10/23/23 03:50:00 PM,12.304,,,,
109,10/23/23 04:00:00 PM,12.207,,,,
110,10/23/23 04:10:00 PM,12.110,,,,
111,10/23/23 04:20:00 PM,12.110,,,,
112,10/23/23 04:30:00 PM,11.819,,,,
113,10/23/23 04:40:00 PM,11.722,,,,
114,10/23/23 04:50:00 PM,11.625,,,,
115,10/23/23 05:00:00 PM,11.625,,,,
116,10/23/23 05:10:00 PM,11.528,,,,
117,10/23/23 05:20:00 PM,11.528,,,,
118,10/23/23 05:30:00 PM,11.431,,,,
119,10/23/23 05:40:00 PM,11.431,,,,
120,10/23/23 05:50:00 PM,11.334,,,,
121,10/23/23 06:00:00 PM,11.236,,,,
122,10/23/23 06:10:00 PM,11.334,,,,
123,10/23/23 06:20:00 PM,11.236,,,,
124,10/23/23 06:30:00 PM,11.334,,,,
125,10/23/23 06:40:00 PM,11.236,,,,
126,10/23/23 06:50:00 PM,11.236,,,,
127,10/23/23 07:00:00 PM,11.236,,,,
128,10/23/23 07:10:00 PM,11.139,,,,
129,10/23/23 07:20:00 PM,11.139,,,,
130,10/23/23 07:30:00 PM,11.236,,,,
131,10/23/23 07:40:00 PM,11.236,,,,
132,10/23/23 07:50:00 PM,11.139,,,,
133,10/23/23 08:00:00 PM,11.041,,,,
134,10/23/23 08:10:00 PM,11.139,,,,
135,10/23/23 08:20:00 PM,11.139,,,,
136,10/23/23 08:30:00 PM,11.139,,,,
137,10/23/23 08:40:00 PM,11.139,,,,
138,10/23/23 08:50:00 PM,11.236,,,,
139,10/23/23 09:00:00 PM,11.236,,,,
140,10/23/23 09:10:00 PM,11.236,,,,
141,10/23/23 09:20:00 PM,11.236,,,,
142,10/23/23 09:30:00 PM,11.236,,,,
143,10/23/23 09:40:00 PM,11.236,,,,
144,10/23/23 09:50:00 PM,11.139,,,,
145,10/23/23 10:00:00 PM,11.139,,,,
146,10/23/23 10:10:00 PM,11.139,,,,
147,10/23/23 10:20:00 PM,11.236,,,,
148,10/23/23 10:30:00 PM,11.236,,,,
149,10/23/23 10:40:00 PM,11.139,,,,
150,10/23/23 10:50:00 PM,11.139,,,,
151,10/23/23 11:00:00 PM,11.139,,,,
152,10/23/23 11:10:00 PM,11.139,,,,
153,10/23/23 11:20:00 PM,11.236,,,,
154,10/23/23 11:30:00 PM,11.139,,,,
155,10/23/23 11:40:00 PM,11.236,,,,
156,10/23/23 11:50:00 PM,11.236,,,,
157,10/24/23 12:00:00 AM,11.139,,,,
158,10/24/23 12:10:00 AM,11.139,,,,
159,10/24/23 12:20:00 AM,11.139,,,,
160,10/24/23 12:30:00 AM,11.139,,,,
161,10/24/23 12:40:00 AM,11.139,,,,
162,10/24/23 12:50:00 AM,11.139,,,,
163,10/24/23 01:00:00 AM,11.139,,,,
164,10/24/23 01:10:00 AM,11.139,,,,
165,10/24/23 01:20:00 AM,11.139,,,,
166,10/24/23 01:30:00 AM,11.139,,,,
167,10/24/23 01:40:00 AM,11.041,,,,
168,10/24/23 01:50:00 AM,11.041,,,,
169,10/24/23 02:00:00 AM,10.944,,,,
170,10/24/23 02:10:00 AM,10.944,,,,
171,10/24/23 02:20:00 AM,11.041,,,,
172,10/24/23 02:30:00 AM,11.041,,,,
173,10/24/23 02:40:00 AM,11.041,,,,
174,10/24/23 02:50:00 AM,11.041,,,,
175,10/24/23 03:00:00 AM,11.041,,,,
176,10/24/23 03:10:00 AM,11.139,,,,
177,10/24/23 03:20:00 AM,11.139,,,,
178,10/24/23 03:30:00 AM,11.236,,,,
179,10/24/23 03:40:00 AM,11.431,,,,
180,10/24/23 03:50:00 AM,11.431,,,,
181,10/24/23 04:00:00 AM,11.431,,,,
182,10/24/23 04:10:00 AM,11.431,,,,
183,10/24/23 04:20:00 AM,11.528,,,,
184,10/24/23 04:30:00 AM,11.528,,,,
185,10/24/23 04:40:00 AM,11.528,,,,
186,10/24/23 04:50:00 AM,11.625,,,,
187,10/24/23 05:00:00 AM,11.625,,,,
188,10/24/23 05:10:00 AM,11.625,,,,
189,10/24/23 05:20:00 AM,11.625,,,,
190,10/24/23 05:30:00 AM,11.625,,,,
191,10/24/23 05:40:00 AM,11.722,,,,
192,10/24/23 05:50:00 AM,11.819,,,,
193,10/24/23 06:00:00 AM,12.013,,,,
194,10/24/23 06:10:00 AM,12.013,,,,
195,10/24/23 06:20:00 AM,12.013,,,,
196,10/24/23 06:30:00 AM,12.013,,,,
197,10/24/23 06:40:00 AM,12.110,,,,
198,10/24/23 06:50:00 AM,12.013,,,,
199,10/24/23 07:00:00 AM,12.110,,,,
200,10/24/23 07:10:00 AM,12.013,,,,
201,10/24/23 07:20:00 AM,12.013,,,,
202,10/24/23 07:30:00 AM,12.013,,,,
203,10/24/23 07:40:00 AM,12.110,,,,
204,10/24/23 07:50:00 AM,12.110,,,,
205,10/24/23 08:00:00 AM,12.110,,,,
206,10/24/23 08:10:00 AM,12.207,,,,
207,10/24/23 08:20:00 AM,12.207,,,,
208,10/24/23 08:30:00 AM,12.304,,,,
209,10/24/23 08:40:00 AM,12.304,,,,
210,10/24/23 08:50:00 AM,12.304,,,,
211,10/24/23 09:00:00 AM,12.304,,,,
212,10/24/23 09:10:00 AM,12.401,,,,
213,10/24/23 09:20:00 AM,12.497,,,,
214,10/24/23 09:30:00 AM,12.497,,,,
215,10/24/23 09:40:00 AM,12.594,,,,
216,10/24/23 09:50:00 AM,12.690,,,,
